"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15, 2021","15,309.55","15,254.35","15,326.15","15,254.35","292.42K","0.96%"
"Feb 12, 2021","15,163.30","15,186.20","15,243.50","15,081.00","571.81K","-0.07%"
"Feb 11, 2021","15,173.30","15,073.25","15,188.50","15,065.40","500.12K","0.44%"
"Feb 10, 2021","15,106.50","15,119.05","15,168.25","14,977.20","624.79K","-0.02%"
"Feb 09, 2021","15,109.30","15,164.15","15,257.10","15,064.30","713.28K","-0.04%"
"Feb 08, 2021","15,115.80","15,064.30","15,159.90","15,041.05","671.24K","1.28%"
"Feb 05, 2021","14,924.25","14,952.60","15,014.65","14,864.75","935.63K","0.19%"
"Feb 04, 2021","14,895.65","14,789.05","14,913.70","14,714.75","884.69K","0.71%"
"Feb 03, 2021","14,789.95","14,754.90","14,868.85","14,574.15","869.48K","0.97%"
"Feb 02, 2021","14,647.85","14,481.10","14,731.70","14,469.15","914.97K","2.57%"
"Feb 01, 2021","14,281.20","13,758.60","14,336.35","13,661.75","870.53K","4.74%"
"Jan 29, 2021","13,634.60","13,946.60","13,966.85","13,596.75","753.21K","-1.32%"
"Jan 28, 2021","13,817.55","13,810.40","13,898.25","13,713.25","637.87K","-1.07%"
"Jan 27, 2021","13,967.50","14,237.95","14,237.95","13,929.30","660.71K","-1.91%"
"Jan 25, 2021","14,238.90","14,477.80","14,491.10","14,218.60","618.63K","-0.93%"
"Jan 22, 2021","14,371.90","14,583.40","14,619.90","14,357.75","776.75K","-1.50%"
"Jan 21, 2021","14,590.35","14,730.95","14,753.55","14,517.25","704.65K","-0.37%"
"Jan 20, 2021","14,644.70","14,538.30","14,666.45","14,517.55","623.07K","0.85%"
"Jan 19, 2021","14,521.15","14,371.65","14,546.05","14,350.85","546.11K","1.68%"
"Jan 18, 2021","14,281.30","14,453.30","14,459.15","14,222.80","762.04K","-1.06%"
"Jan 15, 2021","14,433.70","14,594.35","14,617.45","14,357.85","789.56K","-1.11%"
"Jan 14, 2021","14,595.60","14,550.05","14,617.80","14,471.50","620.20K","0.21%"
"Jan 13, 2021","14,564.85","14,639.80","14,653.35","14,435.70","873.96K","0.01%"
"Jan 12, 2021","14,563.45","14,473.80","14,590.65","14,432.85","929.57K","0.54%"
"Jan 11, 2021","14,484.75","14,474.05","14,498.20","14,383.10","672.88K","0.96%"
"Jan 08, 2021","14,347.25","14,258.40","14,367.30","14,221.65","613.47K","1.48%"
"Jan 07, 2021","14,137.35","14,253.75","14,256.25","14,123.10","559.17K","-0.06%"
"Jan 06, 2021","14,146.25","14,240.95","14,244.15","14,039.90","632.32K","-0.38%"
"Jan 05, 2021","14,199.50","14,075.15","14,215.60","14,048.15","492.48K","0.47%"
"Jan 04, 2021","14,132.90","14,104.35","14,147.95","13,953.75","495.00K","0.82%"
"Jan 01, 2021","14,018.50","13,996.10","14,049.85","13,991.35","258.09K","0.26%"
"Dec 31, 2020","13,981.75","13,970.00","14,024.85","13,936.45","452.41K","-0.00%"
"Dec 30, 2020","13,981.95","13,980.90","13,997.00","13,864.95","380.68K","0.35%"
"Dec 29, 2020","13,932.60","13,910.35","13,967.60","13,859.90","439.59K","0.43%"
"Dec 28, 2020","13,873.20","13,815.15","13,885.30","13,811.55","403.63K","0.90%"
"Dec 24, 2020","13,749.25","13,672.15","13,771.75","13,626.90","471.37K","1.09%"
"Dec 23, 2020","13,601.10","13,473.50","13,619.45","13,432.20","458.65K","1.00%"
"Dec 22, 2020","13,466.30","13,373.65","13,492.05","13,192.90","696.20K","1.03%"
"Dec 21, 2020","13,328.40","13,741.90","13,777.50","13,131.45","687.26K","-3.14%"
"Dec 18, 2020","13,760.55","13,764.40","13,772.85","13,658.60","519.39K","0.14%"
"Dec 17, 2020","13,740.70","13,713.55","13,773.25","13,673.55","416.01K","0.42%"
"Dec 16, 2020","13,682.70","13,663.10","13,692.35","13,606.45","462.15K","0.85%"
"Dec 15, 2020","13,567.85","13,547.20","13,589.65","13,447.05","497.60K","0.07%"
"Dec 14, 2020","13,558.15","13,571.45","13,597.50","13,472.45","558.39K","0.33%"
"Dec 11, 2020","13,513.85","13,512.30","13,579.35","13,402.85","787.71K","0.26%"
"Dec 10, 2020","13,478.30","13,488.50","13,503.55","13,399.30","553.40K","-0.38%"
"Dec 09, 2020","13,529.10","13,458.10","13,548.90","13,449.60","502.61K","1.02%"
"Dec 08, 2020","13,392.95","13,393.85","13,435.45","13,311.05","543.17K","0.28%"
"Dec 07, 2020","13,355.75","13,264.85","13,366.65","13,241.95","591.72K","0.73%"
"Dec 04, 2020","13,258.55","13,177.40","13,280.05","13,152.85","640.51K","0.95%"
"Dec 03, 2020","13,133.90","13,215.30","13,216.60","13,107.90","713.69K","0.15%"
"Dec 02, 2020","13,113.75","13,121.40","13,128.50","12,983.55","717.71K","0.04%"
"Dec 01, 2020","13,109.05","13,062.20","13,128.40","12,962.80","583.63K","1.08%"
"Nov 27, 2020","12,968.95","13,012.05","13,035.30","12,914.30","1.16M","-0.14%"
"Nov 26, 2020","12,987.00","12,906.45","13,018.00","12,790.40","549.80K","1.00%"
"Nov 25, 2020","12,858.40","13,130.00","13,145.85","12,833.65","679.01K","-1.51%"
"Nov 24, 2020","13,055.15","13,002.60","13,079.10","12,978.00","571.87K","1.00%"
"Nov 23, 2020","12,926.45","12,960.30","12,968.85","12,825.70","633.12K","0.52%"
"Nov 20, 2020","12,859.05","12,813.40","12,892.45","12,730.25","664.00K","0.68%"
"Nov 19, 2020","12,771.70","12,839.50","12,963.00","12,745.75","768.75K","-1.29%"
"Nov 18, 2020","12,938.25","12,860.10","12,948.85","12,819.35","731.32K","0.50%"
"Nov 17, 2020","12,874.20","12,932.50","12,934.05","12,797.10","707.68K","1.21%"
"Nov 13, 2020","12,719.95","12,659.70","12,735.95","12,607.70","513.95K","0.23%"
"Nov 12, 2020","12,690.80","12,702.15","12,741.15","12,624.85","622.02K","-0.46%"
"Nov 11, 2020","12,749.15","12,680.60","12,769.75","12,571.10","880.48K","0.93%"
"Nov 10, 2020","12,631.10","12,556.40","12,643.90","12,475.25","847.45K","1.36%"
"Nov 09, 2020","12,461.05","12,399.40","12,474.05","12,367.35","553.45K","1.61%"
"Nov 06, 2020","12,263.55","12,156.65","12,280.40","12,131.85","576.84K","1.18%"
"Nov 05, 2020","12,120.30","12,062.40","12,131.10","12,027.60","632.46K","1.78%"
"Nov 04, 2020","11,908.50","11,783.35","11,929.65","11,756.40","667.29K","0.80%"
"Nov 03, 2020","11,813.50","11,734.45","11,836.20","11,723.30","674.30K","1.24%"
"Nov 02, 2020","11,669.15","11,697.35","11,725.65","11,557.40","568.43K","0.23%"
"Oct 30, 2020","11,642.40","11,678.45","11,748.95","11,535.45","553.67K","-0.24%"
"Oct 29, 2020","11,670.80","11,633.30","11,744.15","11,606.45","554.96K","-0.50%"
"Oct 28, 2020","11,729.60","11,922.60","11,929.40","11,684.85","704.02K","-1.34%"
"Oct 27, 2020","11,889.40","11,807.10","11,899.05","11,723.00","616.32K","1.03%"
"Oct 26, 2020","11,767.75","11,937.40","11,942.85","11,711.70","519.82K","-1.36%"
"Oct 23, 2020","11,930.35","11,957.90","11,974.55","11,908.75","502.34K","0.28%"
"Oct 22, 2020","11,896.45","11,892.10","11,938.10","11,824.45","544.80K","-0.35%"
"Oct 21, 2020","11,937.65","11,958.55","12,018.65","11,775.75","623.66K","0.34%"
"Oct 20, 2020","11,896.80","11,861.00","11,949.25","11,837.25","453.56K","0.20%"
"Oct 19, 2020","11,873.05","11,879.20","11,898.25","11,820.40","541.42K","0.94%"
"Oct 16, 2020","11,762.45","11,727.40","11,789.75","11,667.85","555.77K","0.70%"
"Oct 15, 2020","11,680.35","12,023.45","12,025.45","11,661.30","608.87K","-2.43%"
